created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 28 22:10:02 +0000 2023;1718389690301309394;"Bp @jokowi &amp  Bp @prabowo menurut saya,SALAH PERHITUNGAN ... Sehebat apapun Bp @jokowi membangun infrastruktur TDK AKAN mendpt simpati RAKYAT jk dikaitkan dgn PENGKHIANATAN,apalagi @prabowo dikaitkan dgn PENCULIKAN maka lengkaplah AMARAH RAKYAT. NILA SETITIK RUSAK SUSU SEBELANGA";0;1;2;5;in;1405136994288619529;1718389690301309394;Darkie72006006;https://twitter.com/Darkie72006006/status/1718389690301309394
Sat Oct 28 22:09:45 +0000 2023;1718389616376758535;"@VIVAcoid Si @prabowo gak dianggep min? Nnton 100% komen pada negatif lu bran @gibran_tweet ... Aku yo kcewa c sbg wong solo....yo terus2no leeee";0;0;0;1;in;1628901472321835008;1718237321202672025;EkoApan;https://twitter.com/EkoApan/status/1718389616376758535
Sat Oct 28 22:09:43 +0000 2023;1718389606876578223;"@Ramez17Ramez @Paltiwest Gw bilang Gibran bukan Prabowo.";0;5;0;1;in;949461440;1718262872697176392;ahmadyan83;https://twitter.com/ahmadyan83/status/1718389606876578223
Sat Oct 28 22:09:01 +0000 2023;1718389431537914185;"@prabowoisme Setuju asik, Ayahbowo memahami pemuda memiliki keberanian dalam menyelesaikan risiko dan menyelesaikan tantangan dengan keyakinan diri.  BanyakDeklarasi MasbowoGibran Waktunya Anak Muda Tampil  #AkuRelawanPrabowoGibran @prabowo @gerindra";0;0;0;0;in;1713177675773493248;1718119053460668787;RatuKeisya91281;https://twitter.com/RatuKeisya91281/status/1718389431537914185
Sat Oct 28 22:08:49 +0000 2023;1718389380191273109;"@geloraco 9 tahun lalu, bapak kandung cawapres anda berjanji hal yg sama, tdk akan impor ini dan itu. Kenyataan nya? PHP  Tetapi saya tetap berdo'a agar next presiden bisa melakukan kemandirian dlm bidang pangan, energi dll @prabowo @aniesbaswedan @ganjarpranowo";0;0;0;0;in;1715707462576476160;1718266960448999712;elde_barge123;https://twitter.com/elde_barge123/status/1718389380191273109
Sat Oct 28 22:08:48 +0000 2023;1718389377066586373;"Anies-Muhaimin menggunakan frasa ”8 Jalan Perubahan” sebagai misi bakal capres-cawapres. Adapun  Ganjar-Mahfud memilih ”8 Gerak Cepat Ganjar Pranowo &amp  Mahfud MD”, sedangkan Prabowo-Gibran memakai frasa ”Asta Cita" #Polhuk #AdadiKompas   https://t.co/92oHlGO405";1;2;2;8;in;255866913;1718389377066586373;hariankompas;https://twitter.com/hariankompas/status/1718389377066586373
Sat Oct 28 22:08:33 +0000 2023;1718389315322135018;"VIDEO Momen Kaesang Buka Puasa saat Adzan Magrib, Hentikan Konferensi Pers dengan Prabowo - https://t.co/RNwxalBl5f https://t.co/yPZu3wvXf6 #Jokowinomics #MenataMasaDepan #PrabowoPetugasRakyat";0;0;10;0;in;4580053393;1718389315322135018;KasimS3654;https://twitter.com/KasimS3654/status/1718389315322135018
Sat Oct 28 22:08:33 +0000 2023;1718389314604953769;"VIDEO Momen Kaesang Buka Puasa saat Adzan Magrib, Hentikan Konferensi Pers dengan Prabowo - https://t.co/uKUesTyOQs https://t.co/XZaYAovMtv #Jokowinomics #MenataMasaDepan #PrabowoPetugasRakyat";0;0;10;0;in;4195501453;1718389314604953769;mehuli_ginting;https://twitter.com/mehuli_ginting/status/1718389314604953769
Sat Oct 28 22:07:57 +0000 2023;1718389163459051964;"@HusinShihab @prabowo @kikysaputrii Takut diculik🤣";0;1;0;0;in;2463167359;1718312101398380732;jane_ritonga;https://twitter.com/jane_ritonga/status/1718389163459051964
Sat Oct 28 22:07:57 +0000 2023;1718389163056402576;"Gubernur Jakarta, Anies Baswedan Bakal Jadi Pesaing Prabowo Subianto  Di Pilpres 2024. - Rico Marbun Direktur Eksekutif Median Jum'at (16/10/2020) . https://t.co/wUqribXkSN . https://t.co/E9nKuPDZfk";0;6;9;55;in;1603638553820684289;1718389163056402576;cobeh2022;https://twitter.com/cobeh2022/status/1718389163056402576
