created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 28 09:33:28 +0000 2023;1718199292819836986;"Damn…😱  Mudah2 an Ganjar Mahfud yg Menang Pilpres 🇮🇩2024 🤲  🙏🏼";0;0;0;0;in;1708978950117167104;1718199292819836986;alvons576;https://twitter.com/alvons576/status/1718199292819836986
Sat Oct 28 09:31:05 +0000 2023;1718198691432223170;"@kudila_ banyak yang sayang dan mendoakan yang terbaik buat bapak.. Sukses selalu ya Pak Ganjar, terutama di pilpres nanti #HutGPuntukSemua";0;0;0;0;in;1597944198895902724;1718183608685641895;agustafam;https://twitter.com/agustafam/status/1718198691432223170
Sat Oct 28 09:27:50 +0000 2023;1718197874985705514;"@muchlis_ar @rendi078 Udahlah emang buzzer2 ganjar nih ngamukan sekarang ini, persis kadrun di pilpres dulu.";0;1;0;2;in;1083313455728193537;1718157255248646525;Dadan91528550;https://twitter.com/Dadan91528550/status/1718197874985705514
Sat Oct 28 09:26:38 +0000 2023;1718197570638676158;"@kudila_ selamat ulang tahun pak ganjar, semoga seht selalu bismillah semoga menang pilpres 2024 #HutGPuntukSemua";0;0;0;0;in;1604437077373775876;1718183608685641895;gadiseri9;https://twitter.com/gadiseri9/status/1718197570638676158
Sat Oct 28 09:13:37 +0000 2023;1718194296594235812;"semoga diberikan keberkahan, kesehatan dan umur yang panjang amin 🤲🏻😊 gaspoollllll dukung terus Ganjar pilpres 2024 #HutGPuntukSemua https://t.co/rPiZqNJrnP";0;0;0;0;in;386959869;1718194296594235812;huinjangmii;https://twitter.com/huinjangmii/status/1718194296594235812
Sat Oct 28 09:13:17 +0000 2023;1718194213685493855;"@kudila_ Selamat Ulang Tahun ya Pak Ganjar yang ke 55 semoga selalu sehat dan sukses untuk Pilpres nanti 🎉 #HutGPuntukSemua";0;0;0;0;in;1602629027759640578;1718183608685641895;pitagrin;https://twitter.com/pitagrin/status/1718194213685493855
Sat Oct 28 09:12:50 +0000 2023;1718194100619682145;"Sehari kemudian, Sekjen PDIP Hasto Kristiyanto melontarkan pernyataan bahwa kedatangan Puan juga termasuk upaya pemenangan Ganjar Pranowo di Pilpres 2024. #MenataMasaDepan #BersamaPrabowoGibran  Prabowo Subianto";0;1;0;0;in;1623536887762935816;1718193723711099070;Harumiii_kn;https://twitter.com/Harumiii_kn/status/1718194100619682145
Sat Oct 28 09:11:32 +0000 2023;1718193772495003672;"@Dennysiregar7 Ganjar tidak sekuat Jokowi, pilgub 2018 suara Ganjar hanya selisihsekitar 8 %. Pilpres 2024 bisa terjadi Ganjar banyak kehilangan suara di Jateng";0;0;0;0;in;1354705483903492098;1718100945610190877;Joker_Dodol;https://twitter.com/Joker_Dodol/status/1718193772495003672
Sat Oct 28 08:58:03 +0000 2023;1718190381098291418;"Pasangan Ganjar Mahfud mempunyai misi membagikan lahan produktif ke petani kecil dan buruh tani jika terpilih di Pilpres 2024.  #FreePalestine #JalanSehatGPBandung #starlinkforgaza #CeasefireNOW | Selamat Hari Sumpah Pemuda | ITS A HUMANITARIAN DUTY | U-20 | Rahayu Pak Ganjar https://t.co/lr42QN5kIj";0;0;0;3;in;1534729852024020992;1718190381098291418;ganjariskalteng;https://twitter.com/ganjariskalteng/status/1718190381098291418
Sat Oct 28 08:56:51 +0000 2023;1718190075828412642;"@kudila_ Selamat ulang tahun pak Ganjar semoga lancar di pilpres nt dan kepilih #HutGPuntukSemua";0;0;0;0;in;2758705895;1718183608685641895;enlargx;https://twitter.com/enlargx/status/1718190075828412642
